,hour,longitude,latitude,value
0,0,118.8772,32.1278,26.0
1,0,118.8469,32.0253,12.0
2,0,118.6475,32.0764,65.75
3,0,118.7792,32.0726,16.0
4,0,118.8901,32.0972,25.0
5,0,118.7624,32.0706,36.0
6,0,118.7996,32.0728,46.5
7,0,118.8802,32.0171,29.0
8,0,118.7906,32.0869,8.0
9,0,118.9179,31.912,37.0
10,0,118.8984,32.0911,7.0
11,0,118.8655,32.0228,46.0
12,0,118.8258,32.1293,40.33
13,0,118.7714,32.0156,50.0
14,0,118.6367,32.0661,38.0
15,0,118.7957,32.0192,15.5
16,0,118.7667,31.9754,63.0
17,0,118.7376,32.0127,22.0
18,0,118.6424,32.0557,13.5
19,0,118.8541,31.9587,17.5
20,0,118.7833,32.0967,38.0
21,0,118.7864,32.1184,29.0
22,0,118.7604,32.0518,37.0
23,0,118.7703,32.0891,17.5
24,0,118.7351,32.048,17.0
25,0,118.8078,32.0538,84.0
26,0,118.8114,31.9504,18.0
27,0,118.7886,32.0669,51.5
28,0,118.732,32.003,16.0
29,0,118.8144,32.0063,17.0
30,0,118.8325,32.0487,20.67
31,0,118.8391,31.919,9.0
32,0,118.6309,32.0752,15.0
33,0,118.7428,32.0215,11.0
34,0,118.7982,32.0453,52.0
35,0,118.7926,32.0565,25.73
36,0,118.9238,32.1107,10.0
37,0,118.7434,31.9959,24.67
38,0,118.847,31.9489,27.5
39,0,118.7782,32.0423,37.2
40,0,118.7992,31.9379,10.0
41,0,118.8661,32.0394,12.0
42,0,118.6259,32.0511,11.0
43,0,118.7629,32.0977,12.0
44,0,118.9183,32.0995,14.0
45,0,118.7784,32.0608,154.0
46,0,118.8513,31.9277,29.0
47,0,118.8974,32.0554,8.0
48,0,118.8085,32.0396,86.0
49,0,118.7826,32.0309,56.25
50,0,118.827,31.9399,12.0
51,0,118.8156,32.0172,9.5
52,0,118.8247,31.975,8.0
53,0,118.8635,32.1409,28.0
54,0,118.8892,32.1268,26.0
55,0,118.8157,32.1127,17.0
56,0,118.7638,32.0265,27.0
57,1,118.8575,32.3456,10.0
58,1,118.8411,31.8881,40.0
59,1,118.7576,32.0827,15.33
60,1,118.73,32.132,16.0
61,1,118.8087,31.9493,15.0
62,1,118.9213,32.1016,44.71
63,1,118.7741,32.0486,42.0
64,1,118.8404,31.9568,49.0
65,1,118.7909,32.115,8.0
66,1,118.8358,32.1036,11.0
67,1,118.7572,31.9687,7.0
68,1,118.7653,32.0347,22.33
69,1,118.8085,32.0107,32.0
70,1,118.8329,31.9493,55.0
71,1,118.8283,32.0511,129.0
72,1,118.9029,31.9236,8.0
73,1,118.8979,32.1482,26.0
74,1,118.7726,32.0154,43.0
75,1,118.7453,32.0474,9.0
76,1,118.7893,32.0318,9.0
77,1,118.834,31.9331,10.0
78,1,118.7882,32.0565,50.2
79,1,118.765,32.0985,20.0
80,1,118.7936,32.0753,64.0
81,1,118.7359,32.0034,8.0
82,1,118.7984,32.0385,9.33
83,1,118.843,32.3429,28.0
84,1,118.9104,32.0565,17.0
85,1,118.8575,31.9611,18.0
86,1,118.8902,32.0981,31.75
87,1,118.7773,32.0272,14.5
88,1,118.9037,32.0991,20.0
89,1,118.7918,31.9534,14.0
90,1,118.7492,32.0643,13.0
91,1,118.8646,32.0412,7.0
92,1,118.7932,32.0193,19.0
93,1,118.8692,32.0267,51.0
94,1,118.802,32.0527,18.0
95,1,118.8819,32.131,10.0
