,hour,longitude,latitude,value
0,0,118.7903,32.0469,302
1,0,118.7952,32.0134,265
2,0,118.7923,32.0455,262
3,0,118.7728,32.0133,253
4,0,118.8157,32.0811,251
5,0,118.8032,32.0229,250
6,0,118.8058,32.0485,245
7,0,118.7851,32.0726,244
8,0,118.806,32.0428,242
9,0,118.79,32.0635,239
10,0,118.785,32.0603,238
11,0,117.2133,34.2734,237
12,0,118.7922,32.0258,235
13,0,118.8079,32.0317,230
14,0,118.7953,32.0356,229
15,0,118.7932,32.0922,225
16,0,118.7881,32.0816,225
17,0,118.7948,32.0373,222
18,0,118.805,32.0128,222
19,0,118.7618,32.0494,211
20,0,118.7827,32.0429,211
21,0,118.8051,32.0097,209
22,0,118.8025,31.9969,208
23,0,118.806,32.0249,207
24,0,118.7996,32.052,204
25,0,118.7827,32.0674,202
26,0,118.8114,31.9869,201
27,0,118.8036,32.0475,199
28,0,118.7654,32.0281,199
29,0,118.8072,31.984,198
30,0,118.7817,32.0713,196
31,0,118.7766,32.0167,195
32,0,118.8151,32.0915,194
33,0,118.8148,32.0525,194
34,0,118.8187,31.9739,194
35,0,118.7762,32.0305,191
36,0,118.8138,32.0573,191
37,0,118.7925,32.0253,190
38,0,118.778,32.0255,189
39,0,118.806,31.9783,185
40,0,118.7626,32.1026,184
41,0,118.7802,32.0171,184
42,0,118.7951,32.0957,182
43,0,118.7862,32.0572,181
44,0,118.8032,31.9912,180
45,0,118.7911,32.0816,177
46,0,118.7628,32.0798,172
47,0,118.7786,32.0836,171
48,0,118.7724,32.1037,169
49,0,118.7749,32.0434,167
50,0,118.8182,31.9828,165
51,0,118.771,32.081,165
52,0,118.784,32.0144,163
53,0,118.7664,32.0662,163
54,0,118.7957,32.0879,160
55,0,118.763,32.0508,160
56,0,118.7373,32.1304,159
57,0,118.8032,32.0433,158
58,0,118.7728,32.0457,157
59,0,118.7644,32.0141,156
60,0,118.7398,32.1292,154
61,0,118.7541,32.0893,152
62,0,118.8114,32.1102,149
63,0,118.7724,32.092,149
64,0,118.7532,32.1024,148
65,0,118.7545,32.1062,141
66,0,118.7563,32.1168,141
67,0,118.7434,32.1204,139
68,0,121.3622,31.231,138
69,0,118.754,32.0283,137
70,0,118.7912,32.0858,137
71,0,118.8115,32.109,136
72,0,118.8226,32.1055,134
73,0,118.7509,32.0842,132
74,0,118.7954,32.0125,132
75,0,118.7716,32.0989,132
76,0,118.7596,32.0067,130
77,0,118.7839,32.056,130
78,0,118.7711,32.0576,129
79,0,118.7488,32.0294,126
80,0,118.849,32.0893,126
81,0,118.8173,32.127,125
82,0,118.8262,31.9506,125
83,0,118.7471,31.9863,123
84,0,118.8297,32.092,123
85,0,118.8098,32.0668,122
86,0,118.8187,32.093,121
87,0,118.8046,32.0396,120
88,0,118.7857,32.1027,120
89,0,118.8273,31.9706,120
90,0,118.7705,32.0682,119
91,0,121.6049,31.2037,118
92,0,118.7542,32.0783,118
93,0,118.7732,32.0033,117
94,0,118.8248,32.0283,117
95,0,118.8174,32.0885,116
96,0,118.85,31.9537,115
97,0,118.7549,31.9964,115
98,0,118.8274,31.9617,114
99,0,118.8196,31.962,112
100,0,121.4761,30.9137,112
101,0,118.5101,31.712,112
102,0,118.8,32.0383,111
103,0,118.7598,32.0775,111
104,0,118.8262,32.0358,108
105,0,118.8269,32.0972,108
106,0,116.3856,39.8665,106
107,0,118.7984,32.0272,106
108,0,118.8478,32.1068,106
109,0,118.8621,31.9464,106
110,0,118.7727,32.1012,105
111,0,118.8011,32.0972,104
112,0,118.7772,32.0622,104
113,0,118.3837,31.3685,103
114,0,118.8644,32.1014,103
115,0,118.8763,32.104,103
116,0,118.8178,32.072,103
117,0,118.7982,32.094,102
118,0,118.8362,31.9707,102
119,0,118.7681,32.0438,102
120,0,118.8568,31.9556,102
121,0,118.7496,32.0342,101
122,0,118.8245,32.113,101
123,0,118.8647,31.9549,100
124,0,118.7668,32.0898,100
125,0,102.7313,25.0395,100
126,0,118.8286,32.0394,100
127,0,118.8396,32.1319,100
128,0,118.8272,32.0749,99
129,0,118.7463,32.0433,98
130,0,118.5184,31.7165,98
131,0,118.7559,32.0037,97
132,0,118.841,31.9659,97
133,0,118.8232,31.9398,97
134,0,118.7571,32.035,95
135,0,118.8218,32.0722,95
136,0,118.7746,32.0076,95
137,0,118.7345,32.1406,94
138,0,118.8925,32.0965,93
139,0,118.8208,32.0509,93
140,0,119.1898,34.6118,93
141,0,118.7466,32.0388,92
142,0,118.8169,31.9392,92
143,0,118.866,31.9653,91
144,0,118.8302,32.0458,90
145,0,118.8599,32.0934,89
146,0,118.7451,31.9841,88
147,0,118.9005,32.0526,88
148,0,118.7451,32.0484,88
149,0,118.8246,31.9501,88
150,0,118.7722,32.0366,87
151,0,118.8968,32.0684,86
152,0,118.8338,32.0302,86
153,0,118.8947,32.0899,85
154,0,118.8553,31.9352,85
155,0,118.7512,32.0437,84
156,0,118.7398,32.0661,84
157,0,118.7427,32.1327,84
158,0,118.8044,31.9885,83
159,0,118.8517,31.9649,83
160,0,118.7607,32.0262,83
161,0,118.8402,32.0392,82
162,0,118.8277,31.9623,82
163,0,118.8023,31.9882,82
164,0,118.7676,31.998,81
165,0,118.7457,32.0718,81
166,0,118.8286,31.9371,81
167,0,118.8,32.0656,81
168,0,118.4906,31.6802,79
169,0,118.8094,32.0143,79
170,0,118.8845,32.1087,78
171,0,118.8171,32.1008,78
172,0,118.7565,32.0483,77
173,0,118.8317,31.9651,77
174,0,118.8494,31.9595,77
175,0,118.8064,32.0106,77
176,0,118.8977,32.0678,77
177,0,118.8556,32.0407,76
178,0,118.7769,32.0617,76
179,0,118.9016,32.0627,76
180,0,118.7466,32.0256,76
181,0,118.8046,32.0651,76
182,0,118.7621,32.0242,75
183,0,118.7418,32.0221,75
184,0,118.7289,31.973,75
185,0,118.759,32.0651,75
186,0,118.8944,32.0832,75
187,0,118.8173,32.0667,74
188,0,118.7515,32.0546,73
189,0,118.7232,32.1523,73
190,0,118.8901,32.0544,73
191,0,118.9124,32.0551,72
192,0,118.8179,32.0581,72
193,0,118.7845,31.9999,72
194,0,118.7405,31.979,72
195,0,118.7369,32.1399,71
196,0,118.8366,32.1267,71
197,0,118.795,31.9748,71
198,0,118.7782,32.088,70
199,0,118.7944,31.9616,70
200,0,118.901,32.0832,70
201,0,118.7867,32.1216,70
202,0,118.8181,32.019,70
203,0,118.8345,31.9519,69
204,0,118.7603,32.0381,69
205,0,118.8069,31.9988,69
206,0,118.8459,32.1011,69
207,0,118.8482,31.9626,68
208,0,118.7804,31.9833,68
209,0,118.7377,32.0021,68
210,0,118.7913,32.1064,67
211,0,118.789,31.9666,67
212,0,118.8278,32.0097,67
213,0,118.7958,32.0989,66
214,0,118.8768,32.0512,66
215,0,118.8451,32.1266,66
216,0,118.782,32.0884,66
217,0,118.8666,32.0489,66
218,0,118.8419,32.109,66
219,0,118.8237,32.126,66
220,0,118.7305,32.0056,66
221,0,118.75,32.0128,65
222,0,118.5132,31.7027,65
223,0,118.79,31.987,65
224,0,118.7379,31.9961,65
225,0,118.774,31.9781,64
226,0,118.7397,32.0335,64
227,0,117.8197,30.9409,64
228,0,118.8801,32.0384,64
229,0,118.7374,32.0061,64
230,0,118.7563,32.0683,63
231,0,118.8365,32.099,63
232,0,118.7274,32.1433,63
233,0,118.7821,31.974,62
234,0,118.7489,32.0718,62
235,0,118.9088,32.0912,62
236,0,118.8313,32.036,62
237,0,118.8921,32.0439,62
238,0,118.7284,31.9816,61
239,0,118.8964,32.0778,61
240,0,118.7897,31.981,61
241,0,118.8791,32.1155,60
242,0,118.8152,32.0009,60
243,0,118.862,31.9426,60
244,0,118.8124,32.0199,60
245,0,118.6317,32.0729,60
246,0,118.8247,32.0393,60
247,0,118.8452,32.1136,59
248,0,118.8645,32.1222,59
249,0,118.8449,31.9393,59
250,0,118.9151,32.092,58
251,0,118.7452,31.9989,58
252,0,118.7509,31.9812,58
253,0,118.7369,32.0119,58
254,0,118.812,32.0188,58
255,0,118.903,32.1049,58
256,0,118.8527,32.1371,58
257,0,118.9241,32.0951,57
258,0,118.8535,31.9713,56
259,0,118.6501,32.0773,56
260,0,118.7266,31.9641,56
261,0,121.4584,30.9479,56
262,0,118.7269,31.9958,55
263,0,118.7906,31.9523,55
264,0,118.8055,31.9479,55
265,0,118.8175,31.9498,55
266,0,118.795,31.9577,54
267,0,118.7267,32.1247,54
268,0,118.8723,31.9458,54
269,0,118.8587,32.1249,54
270,0,118.834,32.0802,53
271,0,118.7811,32.0011,53
272,0,118.6383,32.0647,53
273,0,118.9073,32.0562,53
274,0,118.7706,31.9833,53
275,0,118.8683,32.1274,53
276,0,118.855,32.0248,52
277,0,118.831,32.1142,52
278,0,118.8377,32.1294,52
279,0,118.8376,32.0995,52
280,0,118.8196,32.0237,51
281,0,118.7594,31.9953,51
282,0,118.8363,32.0392,51
283,0,118.9005,32.1047,51
284,0,118.8715,31.9413,50
285,0,118.7625,31.9699,50
286,0,118.8177,32.0878,50
287,0,118.8337,31.9219,50
288,0,118.7497,32.1396,50
289,0,118.8172,32.1278,50
290,0,118.7849,32.0001,49
291,0,118.8898,32.088,49
292,0,118.7183,31.9889,49
293,0,118.7279,32.1236,48
294,0,121.6297,31.2677,48
295,0,118.8659,31.9655,48
296,0,118.8595,31.9489,48
297,0,118.8505,32.0355,48
298,0,118.8314,31.9284,48
299,0,118.8296,32.0912,48
300,0,118.765,31.9732,47
301,0,118.8249,32.0611,47
302,0,118.7622,32.1427,47
303,0,118.8607,32.0386,47
304,0,118.8727,32.1145,46
305,0,118.7484,32.135,46
306,0,118.7711,31.9729,46
307,0,118.8497,32.0271,45
308,0,118.8349,32.0742,45
309,0,118.9248,32.095,45
310,0,118.8186,32.1081,45
311,0,118.784,32.1123,45
312,0,118.7179,31.9786,45
313,0,118.7351,31.9755,45
314,0,118.7447,31.9731,44
315,0,118.7407,32.0786,44
316,0,118.7183,32.1506,44
317,0,118.7286,32.0278,44
318,0,118.7242,32.1608,44
319,0,118.5205,31.7259,44
320,0,118.7276,32.1752,43
321,0,118.8902,31.7405,43
322,0,118.8638,32.021,43
323,0,118.7638,32.0295,43
324,0,118.7101,32.1235,43
325,0,118.7956,31.9338,43
326,0,120.1403,33.3729,43
327,0,118.882,32.1106,42
328,0,118.8564,32.0127,42
329,0,118.7302,32.1454,42
330,0,118.9117,32.0973,42
331,0,118.7808,32.1062,42
332,0,118.7483,32.009,42
333,0,106.4965,29.5421,42
334,0,118.6397,32.0567,41
335,0,118.7623,31.9948,41
336,0,118.7256,32.0091,41
337,0,118.806,31.932,41
338,0,118.8859,32.0777,40
339,0,118.78,31.988,40
340,0,118.9163,32.1042,40
341,0,118.7238,32.1628,40
342,0,118.7598,31.9683,39
343,0,118.8426,32.0262,39
344,0,119.4429,32.2043,39
345,0,118.9,32.1393,39
346,0,118.8504,32.0283,39
347,0,118.6423,32.0753,39
348,0,118.8086,32.1181,39
349,0,118.8399,31.9132,39
350,0,119.417,32.3956,39
351,0,118.8003,32.1219,38
352,0,118.697,32.1216,38
353,0,118.7191,32.1774,38
354,0,118.9159,32.1099,38
355,0,118.7651,31.969,38
356,0,118.8774,32.139,38
357,0,118.728,32.1925,37
358,0,118.8408,32.3389,37
359,0,120.3037,31.6222,37
360,0,118.792,32.1266,37
361,0,118.7357,32.2135,37
362,0,118.8638,32.1101,37
363,0,118.9015,32.0409,37
364,0,118.7497,32.0716,37
365,0,116.2792,39.8907,37
366,0,118.7492,32.0841,37
367,0,118.8365,31.9205,37
368,0,118.8612,32.1345,37
369,0,118.8891,32.1311,36
370,0,118.8533,32.0224,36
371,0,118.8818,32.1518,36
372,0,118.8505,32.346,36
373,0,118.8909,31.9454,36
374,0,118.7212,31.9944,36
375,0,118.6296,32.0659,35
376,0,118.8943,32.1234,35
377,0,118.7503,32.0944,35
378,0,118.8034,31.9422,35
379,0,118.7239,32.1751,35
380,0,118.8611,32.0362,35
381,0,118.7317,32.2007,35
382,0,118.743,32.0003,35
383,0,118.8663,31.9732,35
384,0,118.8499,32.1165,34
385,0,118.7318,32.0279,34
386,0,118.7554,31.9804,34
387,0,118.628,32.0682,34
388,0,118.8205,32.0957,34
389,0,118.8874,32.0394,34
390,0,118.8894,32.0758,34
391,0,118.7359,32.0227,34
392,0,118.9323,32.059,34
393,0,118.7289,32.2004,34
394,0,118.8801,31.9664,34
395,0,118.7258,32.1886,34
396,0,118.8433,32.0204,34
397,0,118.4131,31.3431,33
398,0,118.8393,31.9403,33
399,0,118.8319,31.9166,33
400,0,118.8065,31.9612,33
401,0,118.806,31.9615,33
402,0,118.9019,32.1288,33
403,0,118.6478,32.0648,33
404,0,118.6938,32.1107,33
405,0,118.8377,32.1346,33
406,0,118.5406,31.7062,33
407,0,118.8291,32.0529,33
408,0,118.7347,32.2181,33
409,0,118.7813,31.9954,32
