,hour,longitude,latitude,value
0,0,118.8164,32.0672,10.0
1,0,118.793,31.949,27.0
2,0,118.9137,32.1208,10.0
3,0,118.8367,32.0253,15.0
4,0,118.7715,32.0368,176.0
5,0,118.7318,32.0034,98.0
6,0,118.8755,31.9444,6.0
7,0,118.807,31.9757,85.0
8,0,118.8304,32.0784,16.0
9,0,118.6361,32.0586,7.0
10,0,118.7904,32.0687,48.0
11,0,118.8218,31.9543,44.0
12,0,118.7835,32.0562,100.0
13,0,118.7477,32.065,119.0
14,0,118.787,32.0427,302.0
15,0,118.8666,32.1199,24.0
16,0,118.8561,31.9571,12.0
17,0,118.7926,31.9843,24.0
18,0,118.8491,32.0397,10.0
19,0,118.6307,32.0756,9.0
20,0,118.7783,32.0724,34.0
21,0,118.7629,32.2342,85.0
22,0,118.7776,31.9826,66.0
23,0,118.9274,32.1081,47.0
24,0,118.7743,31.9921,31.0
25,0,118.8491,32.3465,8.0
26,0,118.7708,32.1182,24.0
27,0,118.7397,32.0126,10.0
28,0,118.7946,32.0023,62.0
29,0,118.8572,31.9386,10.0
30,0,118.8041,32.0353,154.0
31,0,118.8071,32.0892,17.0
32,0,118.8007,31.9397,151.0
33,0,118.8216,32.1326,13.0
34,0,118.7399,31.9668,10.0
35,0,118.7604,31.9488,10.0
36,0,118.7887,31.9595,25.0
37,0,118.8873,32.1016,75.0
38,0,118.7445,32.0356,68.0
39,0,118.7399,32.0853,35.0
40,0,118.7728,32.0276,68.0
41,0,118.7782,32.098,20.0
42,0,118.8049,32.0047,24.0
43,0,118.7925,32.031,28.0
44,0,118.8483,31.9468,20.0
45,0,118.7806,32.0126,15.0
46,0,118.7981,32.0441,125.0
47,0,118.6389,32.0679,40.0
48,0,118.7841,32.0892,40.0
49,0,118.7916,32.0783,20.0
50,0,118.7692,32.0872,39.0
51,0,118.824,32.0421,10.0
52,0,118.8739,32.3132,35.0
53,0,118.7246,32.0137,32.0
54,0,118.7712,32.1058,51.0
55,0,118.8278,31.9377,11.0
56,0,118.8158,31.9321,52.0
57,0,118.7441,31.9958,16.0
58,0,118.7224,31.9818,19.0
59,0,118.8998,32.0941,476.0
60,0,118.9089,31.9212,40.0
61,0,118.7983,32.0593,10.0
62,0,118.774,32.0516,48.0
63,0,118.8155,32.0153,32.0
64,1,118.639,32.0571,23.0
65,1,118.7908,32.0636,21.0
66,1,118.8873,32.1238,13.0
67,1,118.9148,32.1201,10.0
68,1,118.7448,32.0439,85.0
69,1,118.7802,32.0403,11.0
70,1,118.7584,32.061,10.0
71,1,118.7792,32.0707,12.0
72,1,118.7878,32.0176,10.0
73,1,118.8207,32.0754,22.0
74,1,118.5171,31.9568,1000.0
75,1,118.7304,32.0094,46.0
76,1,118.8938,32.0904,107.0
77,1,118.742,31.9878,18.0
78,1,118.749,32.2392,55.0
79,1,118.7567,32.0241,28.0
80,1,118.8253,31.9666,37.0
81,1,118.8049,31.9794,34.0
82,1,118.7704,32.0152,57.0
83,1,118.7655,32.0442,11.0
84,1,118.8426,32.1068,10.0
85,1,118.9146,32.1042,10.0
86,1,118.7266,31.9966,18.0
87,1,118.8177,32.1132,13.0
88,1,118.7533,32.1457,33.0
89,1,118.7612,32.0931,23.0
90,1,118.7752,31.9848,46.0
91,1,118.8474,32.0446,15.0
92,1,118.7914,32.0273,71.0
93,1,118.7709,32.0875,40.0
94,1,118.7909,32.0941,12.0
95,1,118.8768,32.1592,10.0
96,1,118.7898,32.0779,37.0
97,1,118.6367,32.0689,18.0
98,1,118.8026,32.0522,18.0
99,1,118.7284,32.041,20.0
100,1,118.894,32.135,10.0
101,1,118.8554,31.9287,26.0
102,1,118.792,32.0461,90.0
103,1,118.8084,32.0389,26.0
104,1,118.7645,32.1019,19.0
105,1,118.7787,32.0603,65.0
106,1,119.0017,32.1414,40.0
107,2,118.8367,31.8933,86.0
108,2,118.9065,32.104,25.0
109,2,118.8056,32.0175,41.0
110,2,118.799,31.9379,25.0
111,2,118.7398,31.9949,20.0
112,2,118.8098,32.0595,23.0
113,2,118.8185,32.0795,19.0
114,2,118.7989,32.1093,23.0
115,2,118.7305,32.1433,30.0
116,2,118.7772,32.0449,33.0
117,2,118.7904,32.0753,96.0
118,2,118.7812,32.0246,38.0
119,2,118.641,32.0705,8.0
120,2,118.9204,32.1039,15.0
121,2,118.6361,32.057,12.0
122,2,118.6505,32.0647,8.0
123,2,118.7742,32.0537,53.0
124,2,118.7772,32.1101,10.0
125,2,118.8576,31.9638,10.0
126,2,118.8617,32.1228,37.0
127,2,118.8009,32.0497,19.0
128,2,118.7498,32.1001,14.0
129,2,118.7858,32.0393,58.0
130,2,118.7286,32.0129,10.0
131,2,118.827,31.9735,43.0
132,2,118.8301,32.0503,14.0
133,2,118.7951,32.0601,16.0
134,2,118.8403,32.1213,45.0
135,2,118.789,32.0526,103.0
136,2,118.8204,32.1091,10.0
137,2,118.7589,32.0186,11.0
138,2,118.7667,32.1159,10.0
139,2,118.8433,32.0229,12.0
140,2,118.7728,31.9852,14.0
141,2,118.7395,32.0827,14.0
142,2,118.9004,32.0954,180.0
143,2,118.7327,32.0029,58.0
144,3,118.778,32.0516,59.0
145,3,118.8996,32.0942,74.0
146,3,118.8474,31.9382,45.0
147,3,118.7886,32.0364,52.0
148,3,118.8153,32.017,28.0
149,3,118.7839,32.0771,48.0
150,3,118.7948,32.1199,6.0
151,3,118.736,32.0102,31.0
152,3,118.7659,32.0978,10.0
153,3,118.7969,31.9764,56.0
154,3,118.7614,32.034,12.0
155,3,118.7497,32.0976,10.0
156,3,118.7422,32.0197,13.0
157,3,118.8083,32.0464,10.0
158,3,118.79,32.056,17.0
159,3,118.7861,32.0453,45.0
160,3,118.8138,31.9451,49.0
161,3,118.7451,32.0352,32.0
162,3,118.8326,31.978,22.0
163,3,118.8011,31.9982,35.0
164,4,118.9099,32.0519,43.0
165,4,118.8726,31.943,35.0
166,4,118.7778,32.0298,31.0
167,4,118.6551,32.0726,44.0
168,4,118.7518,31.9854,20.0
169,4,118.8928,32.1289,40.0
170,4,118.779,32.0876,18.0
171,4,118.8945,31.9945,33.0
172,4,118.7512,32.0661,54.0
