,hour,longitude,latitude,value
0,0,118.7949,31.9754,4
1,0,118.6404,32.0615,5
2,0,118.7378,32.0576,10
3,0,118.7933,32.0517,48
4,0,118.8365,32.085,6
5,0,118.7873,32.0424,23
6,0,118.7102,32.1187,5
7,0,118.8078,32.0538,10
8,0,118.7805,31.9872,17
9,0,118.7658,32.067,4
10,0,118.8183,31.9777,5
11,0,118.8167,31.9317,5
12,0,118.8639,32.1197,5
13,0,118.7808,32.0617,6
14,0,118.7348,32.1586,4
15,0,118.8038,32.042,18
16,0,119.0508,31.6574,5
17,0,118.7332,32.0062,13
18,0,118.8956,32.1336,5
19,0,118.7956,32.0238,16
20,0,118.8428,31.8934,10
21,0,118.8841,32.0028,5
22,0,118.8562,31.9573,4
23,0,118.7623,32.25,5
24,0,118.7737,32.0458,4
25,0,118.7628,32.035,14
26,0,118.8802,32.0167,4
27,0,118.7598,32.0248,6
28,0,118.7854,31.949,4
29,0,118.8906,32.342,5
30,0,118.7419,32.0382,10
31,0,118.7638,31.9679,6
32,0,118.7915,32.0622,9
33,0,118.8409,32.1107,4
34,0,118.7993,31.9383,25
35,0,118.828,32.134,4
36,0,118.6289,32.0733,14
37,0,118.6418,32.0709,14
38,0,118.7749,32.1079,5
39,0,118.8757,32.0362,8
40,0,118.8989,32.0903,85
41,0,118.629,32.0512,5
42,0,118.8463,31.9369,8
43,0,118.7294,32.1443,4
44,0,118.7386,32.0156,6
45,0,118.8124,32.0153,5
46,0,118.751,31.9859,8
47,0,118.7633,31.9808,9
48,0,118.9108,32.0902,6
49,0,118.9067,32.1032,5
50,0,118.779,32.0735,5
51,0,118.8908,32.1618,4
52,0,118.8902,32.098,6
53,0,118.744,31.996,33
54,0,118.7893,32.0318,9
55,0,118.8209,31.9507,9
56,0,118.9015,32.0576,6
57,0,118.774,32.0843,21
58,0,118.8493,32.346,10
59,0,118.7446,32.0275,9
60,0,118.7525,32.0444,17
61,0,118.9288,32.108,6
62,0,118.7254,31.9858,6
63,0,118.8882,32.1522,4
64,0,118.8697,32.0255,5
65,0,118.8036,31.993,5
66,1,118.8595,32.3523,5
67,1,118.8837,32.0811,6
68,1,118.8981,31.8922,5
69,1,118.8124,32.0153,6
70,1,118.7903,31.9568,5
71,1,118.7235,32.1781,10
72,1,118.7862,32.0232,13
73,1,118.8542,31.9567,5
74,1,118.6534,32.0688,13
75,1,118.7215,31.9802,4
76,1,118.8859,31.9458,12
77,1,118.786,32.0563,10
78,1,118.7428,32.0602,8
79,1,118.7888,31.9772,4
80,1,118.6196,32.0613,4
81,1,118.7329,32.0038,4
82,1,118.7621,32.0657,6
83,1,118.9035,32.1297,6
84,1,118.8436,31.9159,6
85,1,118.8348,32.0244,5
86,1,118.8459,32.126,10
87,1,119.0315,31.6426,8
88,1,118.9326,32.0974,6
89,1,118.8538,32.0347,4
90,1,118.9223,32.1008,13
91,1,118.909,32.0918,6
92,1,118.892,31.7481,6
93,1,118.7305,31.9872,6
94,1,118.8023,32.0523,9
95,1,118.8693,32.0265,10
96,1,118.8437,31.9447,9
97,1,118.8109,32.1058,5
98,1,118.9188,31.9165,4
99,1,118.9899,32.1375,4
100,1,118.7505,32.0379,10
101,1,118.7901,32.0445,13
102,1,118.8164,31.9128,5
103,1,118.7666,32.1177,5
104,1,118.7409,32.0169,5
105,1,118.7698,31.9828,17
106,1,118.7652,32.029,8
107,2,118.8898,31.9916,5
108,2,118.802,32.0207,6
109,2,118.7463,32.0627,12
110,2,118.788,32.0507,14
111,2,118.7999,32.0415,8
112,2,118.7897,31.951,9
113,2,118.7485,32.0883,6
114,2,118.8035,32.0918,4
115,2,118.7724,32.0614,5
116,2,118.8931,31.96,5
117,2,118.9073,32.0565,8
118,2,118.765,32.0929,6
119,2,118.6693,32.101,5
120,2,118.9018,32.137,6
121,2,118.7459,32.0761,8
122,2,118.8528,31.9353,5
123,2,118.8243,31.9382,8
124,2,118.8096,31.9409,4
125,2,118.7891,32.0315,5
126,2,118.7768,32.0259,5
127,2,118.6554,32.0724,4
128,2,118.8255,31.9677,13
129,2,118.8931,32.0902,8
130,2,118.8222,32.1121,10
131,2,118.7724,31.9846,4
132,3,118.7463,32.0691,10
133,3,118.6376,32.0724,5
134,3,118.7535,32.0278,9
135,3,118.7372,32.134,4
136,3,118.7657,32.0352,6
137,3,118.7814,32.044,5
138,3,118.7832,32.1052,14
139,3,118.7446,32.1524,6
140,3,118.771,32.2384,5
141,3,118.7978,31.9188,5
142,3,118.6316,32.0632,5
143,3,118.7762,32.0765,4
144,3,118.6345,31.9028,4
145,3,118.8459,32.126,6
146,3,118.8573,31.9534,8
147,3,118.8122,32.0386,5
148,3,118.8319,32.0514,4
149,3,118.8992,32.0928,16
150,3,118.7699,32.0999,5
151,3,118.8684,32.0105,5
152,3,118.7548,32.1455,5
153,3,118.8174,31.7958,14
154,3,118.7889,32.0563,6
155,3,118.8798,32.1441,9
